symbol,currency,exchange_timezone,exchange,mic_code,type,datetime,open_value,high_value,low_value,close_value,volume
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-10,152.06,154.42,151.88,153.73,44421800
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-09,148.33,151.71,148.21,151.37,43812600
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-08,146.74,149.4,146.15,149.1,46757100
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-05,144.69,146.59,144.53,145.24,45124800
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-04,145.59,147.38,144.05,144.57,56039800
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-03,149.2,151.05,148.33,148.47,49425500
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-02,151.54,152.38,148.39,149.93,47339400
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-26,178.6,184.25,177.38,177.67,112782500
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-25,168.76,175.24,168.73,172.63,74228600
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-22,166.69,171.2,166.3,170.83,75454700
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-21,176.39,178.18,171.8,172.82,73178000
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-20,173.0,176.25,170.82,175.66,83846700
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-19,172.36,172.82,167.42,171.32,77271400
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-18,170.02,174.72,165.9,173.8,108214400
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-15,163.16,165.18,160.76,163.57,96971900
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-14,167.77,171.17,160.51,162.5,126325700
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-13,173.05,176.05,169.15,169.48,106524500
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-12,177.77,179.43,172.41,177.54,87391700
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-11,175.45,182.87,174.8,177.77,85391500
